path,barrio,localidad,categoria,descripcion
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_18_santiago_reyna-10019.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 18 Santiago Reyna-10019.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_19_santiago_reyna-10018.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 19 Santiago Reyna-10018.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_20_santiago_reyna-10017.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 20 Santiago Reyna-10017.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_21_santiago_reyna-10016.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 21 Santiago Reyna-10016.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_22_santiago_reyna-10015.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 22 Santiago Reyna-10015.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_23_santiago_reyna-10014.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 23 Santiago Reyna-10014.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_24_santiago_reyna-10013.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 24 Santiago Reyna-10013.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_25_santiago_reyna-10012.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 25 Santiago Reyna-10012.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_26_santiago_reyna-10011.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 26 Santiago Reyna-10011.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_27_santiago_reyna-10010.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 27 Santiago Reyna-10010.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_29_santiago_reyna-10009.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 29 Santiago Reyna-10009.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_30_santiago_reyna-10008.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 30 Santiago Reyna-10008.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_31_santiago_reyna-10007.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 31 Santiago Reyna-10007.Jpg
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_32_santiago_reyna-10006.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 32 Santiago Reyna-10006.Jpg
